City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,talnakh,69.4865,88.3972,251.99,97,99,2.57,RU,1736375547
1,edinburgh of the seven seas,-37.0676,-12.3116,290.71,98,88,4.66,SH,1736375549
2,saipan,15.1355,145.701,300.54,85,75,5.66,MP,1736375550
3,pathein,16.7833,94.7333,291.71,86,4,2.56,MM,1736375551
4,dzhalagash,45.0833,64.6667,265.34,69,3,3.68,KZ,1736375552
5,invercargill,-46.4,168.35,287.6,77,94,0.89,NZ,1736375419
6,aasiaat,68.7098,-52.8699,266.38,92,100,5.57,GL,1736375556
7,kingston,17.997,-76.7936,301.68,70,20,3.09,JM,1736375515
8,port-aux-francais,-49.35,70.2167,279.03,93,44,9.27,TF,1736375558
9,tazovsky,67.4667,78.7,243.09,100,48,0.91,RU,1736375559
10,hawaiian paradise park,19.5933,-154.9731,301.41,71,40,4.12,US,1736375560
11,sinabang,2.4803,96.3801,298.93,84,79,1.74,ID,1736375562
12,tiksi,71.6872,128.8694,250.44,95,100,6.34,RU,1736375563
13,udachny,66.4167,112.4,255.6,93,100,1.62,RU,1736375564
14,port douglas,-16.4833,145.4667,301.07,71,26,3.18,AU,1736375565
15,bubaque,11.2833,-15.8333,298.52,74,100,5.19,GW,1736375566
16,selfoss,63.9331,-20.9971,259.65,79,0,2.99,IS,1736375568
17,flying fish cove,-10.4217,105.6791,298.97,94,75,3.09,CX,1736375570
18,jamestown,42.097,-79.2353,264.83,80,100,4.63,US,1736375354
19,olonkinbyen,70.9221,-8.7187,267.9,65,90,5.74,SJ,1736375572
20,bethel,41.3712,-73.414,267.6,52,0,6.69,US,1736375303
21,grytviken,-54.2811,-36.5092,280.68,57,43,1.81,GS,1736375575
22,west island,-12.1568,96.8225,300.14,83,45,4.63,CC,1736375576
23,plastun,44.7561,136.2939,254.18,65,77,5.58,RU,1736375577
24,mahina,-17.5065,-149.489,304.02,66,20,4.12,PF,1736375578
25,tsiombe,-25.3,45.4833,298.46,87,42,1.3,MG,1736375579
26,alice springs,-23.7,133.8833,305.9,25,75,2.57,AU,1736375580
27,berriane,32.8265,3.7669,283.75,38,38,4.49,DZ,1736375582
28,naracoorte,-36.9579,140.7383,296.73,42,100,3.64,AU,1736375583
29,iqaluit,63.7506,-68.5145,251.31,76,75,13.89,CA,1736375584
30,nadi,-17.8,177.4167,302.15,61,75,6.69,FJ,1736375585
31,lazaro cardenas,17.9583,-102.2,301.04,64,17,3.58,MX,1736375586
32,kasempa,-13.4584,25.8338,290.62,93,92,2.43,ZM,1736375587
33,nuuk,64.1835,-51.7216,269.49,74,75,8.23,GL,1736375588
34,hithadhoo,-0.6,73.0833,300.41,76,30,1.45,MV,1736375590
35,hamilton,39.1834,-84.5333,269.13,72,100,4.63,US,1736375414
36,port elizabeth,-33.918,25.5701,291.66,95,0,3.09,ZA,1736375592
37,hermiston,45.8404,-119.2895,280.51,73,0,2.57,US,1736375593
38,anadyr,64.75,177.4833,246.43,76,40,2.0,RU,1736375594
39,hirara,24.8,125.2833,290.07,72,75,9.26,JP,1736375595
40,goroka,-6.0834,145.3873,293.39,85,100,0.27,PG,1736375596
41,labrador city,52.9463,-66.9114,269.92,86,100,14.75,CA,1736375598
42,kikvidze,50.7416,43.0518,276.36,83,100,7.03,RU,1736375534
43,amahai,-3.3333,128.9167,300.51,77,73,1.62,ID,1736375600
44,lata,40.1629,-8.3327,283.74,98,91,2.17,PT,1736375601
45,guasdualito,7.2424,-70.7324,305.13,55,20,1.54,VE,1736375602
46,igarra,7.2827,6.0878,298.21,19,7,1.32,NG,1736375603
47,port blair,11.6667,92.75,300.17,78,40,0.51,IN,1736375604
48,adamstown,-25.066,-130.1015,297.01,81,100,11.54,PN,1736375606
49,qaqortoq,60.7167,-46.0333,262.87,72,98,2.97,GL,1736375352
50,cam ranh,11.9214,109.1591,296.13,68,0,2.57,VN,1736375608
51,namibe,-15.1961,12.1522,294.48,79,100,1.8,AO,1736375609
52,la passe,45.5549,-0.8967,286.34,80,86,13.36,FR,1736375610
53,kokpekty,48.75,82.4,263.2,91,100,2.74,KZ,1736375611
54,st. john's,47.5649,-52.7093,274.8,94,75,5.14,CA,1736375519
55,waitangi,-43.9535,-176.5597,289.72,73,29,3.13,NZ,1736375615
56,pico truncado,-46.7949,-67.9573,295.27,20,6,13.06,AR,1736375616
57,vorgashor,67.5833,63.95,245.28,100,99,2.84,RU,1736375617
58,codrington,-38.2667,141.9667,295.34,48,100,1.64,AU,1736375618
59,georgetown,5.4112,100.3354,300.11,77,20,3.09,MY,1736375406
60,dudinka,69.4058,86.1778,244.38,100,91,2.22,RU,1736375621
61,nar'yan-mar,67.6713,53.087,256.02,92,100,6.67,RU,1736375622
62,blackmans bay,-43.0167,147.3167,292.33,68,100,1.62,AU,1736375623
63,valparaiso,-33.0393,-71.6273,296.28,49,0,6.17,CL,1736375621
64,bredasdorp,-34.5322,20.0403,290.43,82,0,2.03,ZA,1736375625
65,hadibu,12.65,54.0333,295.76,70,37,4.45,YE,1736375626
66,albany,42.6001,-73.9662,265.73,69,86,4.92,US,1736375338
67,kapuskasing,49.4169,-82.4331,253.2,65,0,2.57,CA,1736375629
68,hilo,19.7297,-155.09,301.53,75,40,4.12,US,1736375630
69,ilulissat,69.2167,-51.1,267.16,73,75,4.12,GL,1736375631
70,lokoja,7.8024,6.743,299.48,18,5,1.07,NG,1736375632
71,newman,37.3138,-121.0208,289.28,43,12,0.89,US,1736375633
72,laguna,38.421,-121.4238,290.43,50,0,0.89,US,1736375416
73,cabanas,22.9758,-82.9219,291.89,68,62,5.1,CU,1736375636
74,tambacounda,13.7539,-13.7586,300.18,32,0,3.09,SN,1736375622
75,dhanwar,24.4167,85.9833,282.7,54,0,1.13,IN,1736375639
76,malpica,43.3228,-8.8105,288.28,100,61,10.12,ES,1736375640
77,stanley,54.868,-1.6985,268.44,85,0,1.03,GB,1736375641
78,bac ninh,21.1833,106.05,290.2,54,98,1.96,VN,1736375642
79,puerto natales,-51.7236,-72.4875,283.4,53,75,10.29,CL,1736375599
80,ghanzi,-21.5667,21.7833,295.46,74,100,2.8,BW,1736375645
81,abepura,-2.6333,140.5833,298.6,100,40,0.51,ID,1736375646
82,atafu village,-8.5421,-172.5159,300.85,73,100,8.81,TK,1736375648
83,puerto ayora,-0.7393,-90.3518,297.9,94,81,0.89,EC,1736375649
84,ranam,41.7136,129.6844,257.82,40,6,3.91,KP,1736375651
85,gorontalo,0.5412,123.0595,297.58,95,61,1.32,ID,1736375652
86,lebu,-37.6167,-73.65,290.36,83,0,5.48,CL,1736375653
87,hammerfest,70.6634,23.6821,265.4,45,0,7.72,NO,1736375559
88,bilibino,68.0546,166.4372,238.24,99,11,0.5,RU,1736375655
89,puerto armuelles,8.2833,-82.8667,298.76,81,97,0.45,PA,1736375656
90,port mathurin,-19.6833,63.4167,299.54,85,21,9.19,MU,1736375658
91,kodiak,57.79,-152.4072,275.88,100,100,5.14,US,1736375532
92,santa elena de uairen,4.6167,-61.1333,295.93,50,19,0.83,VE,1736375660
93,tralee,52.2704,-9.7026,270.2,98,32,0.96,IE,1736375661
94,tofol,5.3248,163.0078,300.82,81,18,8.7,FM,1736375662
95,san fernando,15.0286,120.6898,298.0,89,90,2.39,PH,1736375663
96,avarua,-21.2078,-159.775,302.18,84,75,8.75,CK,1736375664
97,toba,34.4833,136.85,278.74,79,23,8.4,JP,1736375666
98,thames,-37.1333,175.5333,295.45,56,31,1.78,NZ,1736375667
99,lake havasu city,34.4839,-114.3224,293.83,18,0,10.8,US,1736375668
100,barkhan,29.8977,69.5256,280.69,32,38,1.01,PK,1736375669
101,kailua-kona,19.6406,-155.9956,301.08,69,20,4.12,US,1736375455
102,midvagur,62.0511,-7.1939,274.61,64,75,10.29,FO,1736375671
103,holualoa,19.6228,-155.9522,298.63,70,20,4.12,US,1736375673
104,ushuaia,-54.8,-68.3,281.96,81,75,14.92,AR,1736375526
